time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2021-01-20 13:00:42.011 UTC, ,125,3172573,1184,26608,112, ,4, ,65, , , , , , , , , ,4,4, , , ,2,1,6, ,40,21, , , , , , , , , , , , , ,19641,2,18032,18032, , , , ,19689,90029199360,40,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,19689, ,1611147581738, , , , ,3145728,19641, , ,21,0, , , ,1, , , ,3, , , , ,21,1, , , , , , ,8318,22, , , , , , , , ,1,19,56917104,1, , , , , , ,54, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,52,11, , , , , , , 
2021-01-20 13:01:42.016 UTC, ,125,3172573,1184,26608,112, ,4, , , , , , , , , , , ,4,4, , , ,2,1,6, , , , , , , , , , , , , , , , ,19641,2,18032,18032, , , , ,19689,90028105728,40,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,19689, ,1611147581738, , , , ,3145728,19641, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,59014256,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021-01-20 13:02:42.021 UTC, ,125,3172573,1184,26608,112, ,4, , , , , , , , , , , ,4,4, , , ,2,1,6, , , , , , , , , , , , , , , , ,19641,2,18032,18032, , , , ,19689,90027601920,40,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,19689, ,1611147581738, , , , ,3145728,19641, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,59014256,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021-01-20 13:03:42.025 UTC, ,125,3172573,1184,26608,112, ,4, , , , , , , , , , , ,4,4, , , ,2,1,6, , , , , , , , , , , , , , , , ,19641,2,18032,18032, , , , ,19689,90026004480,40,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,19689, ,1611147581738, , , , ,3145728,19641, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,61111408,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021-01-20 13:04:42.028 UTC, ,125,3172573,1184,26608,112, ,4, , , , , , , , , , , ,4,4, , , ,2,1,6, , , , , , , , , , , , , , , , ,19641,2,18032,18032, , , , ,19689,90025693184,40,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,19689, ,1611147581738, , , , ,3145728,19641, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,63208560,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021-01-20 13:05:42.030 UTC, ,125,3172573,1184,26608,112, ,4, , , , , , , , , , , ,4,4, , , ,2,1,6, , , , , , , , , , , , , , , , ,19641,2,18032,18032, , , , ,19689,90025684992,40,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,19689, ,1611147581738, , , , ,3145728,19641, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,63208560,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021-01-20 13:06:42.033 UTC, ,125,3172573,1184,26608,112, ,4, , , , , , , , , , , ,4,4, , , ,2,1,6, , , , , , , , , , , , , , , , ,19641,2,18032,18032, , , , ,19689,90025684992,40,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,19689, ,1611147581738, , , , ,3145728,19641, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,65305712,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021-01-20 13:07:42.036 UTC, ,125,3172573,1184,26608,112, ,4, , , , , , , , , , , ,4,4, , , ,2,1,6, , , , , , , , , , , , , , , , ,19641,2,18032,18032, , , , ,19689,90025680896,40,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,19689, ,1611147581738, , , , ,3145728,19641, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,67402864,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021-01-20 13:08:42.039 UTC, ,125,3172573,1184,26608,112, ,4, , , , , , , , , , , ,4,4, , , ,2,1,6, , , , , , , , , , , , , , , , ,19641,2,18032,18032, , , , ,19689,90025676800,40,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,19689, ,1611147581738, , , , ,3145728,19641, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,67402864,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021-01-20 13:09:42.042 UTC, ,125,3172573,1184,26608,112, ,4, , , , , , , , , , , ,4,4, , , ,2,1,6, , , , , , , , , , , , , , , , ,19641,2,18032,18032, , , , ,19689,90025676800,40,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,19689, ,1611147581738, , , , ,3145728,19641, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,69500016,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
